name,h_income
Alabama,1897576
Alaska,252199
Arizona,2670441
Arkansas,1163647
California,13157873
Colorado,2235103
Connecticut,1377166
Delaware,376239
District of Columbia,291570
Florida,7905832
Georgia,3852714
Hawaii,465299
Idaho,655859
Illinois,4866006
Indiana,2597765
Iowa,1287221
Kansas,1138329
Kentucky,1748732
Louisiana,1741076
Maine,573618
Maryland,2226767
Massachusetts,2650680
Michigan,3969880
Minnesota,2222568
Mississippi,1100229
Missouri,2458337
Montana,437651
Nebraska,771444
Nevada,1143557
New Hampshire,541396
New Jersey,3286264
New Mexico,793420
New York,7446812
North Carolina,4046348
North Dakota,323519
Ohio,4730340
Oklahoma,1495151
Oregon,1649352
Pennsylvania,5119249
Rhode Island,407174
South Carolina,1975915
South Dakota,353799
Tennessee,2654737
Texas,9985126
Utah,1023855
Vermont,262767
Virginia,3191847
Washington,2932477
West Virginia,728175
Wisconsin,2386623
Wyoming,233128
